2000106,101,45.3
2000102,113,98.5
2000103,101,73.4
2000104,102,93.7
2000102,108,99.2
2000103,109,76.0
2000104,104,90.5
2000102,111,49.3
2000106,101,45.3
2000102,113,98.5
2000103,101,73.4
2000104,102,93.7
2000102,108,99.2
2000103,109,76.0
2000104,104,90.5
2000102,111,49.3
2000106,101,45.3
2000102,113,98.5
2000103,101,73.4
2000104,102,93.7
2000102,108,99.2
2000103,109,76.0
2000104,104,90.5
2000102,111,49.3
2000106,101,45.3
2000102,113,98.5
2000103,101,73.4
2000104,102,93.7
2000102,108,99.2
2000103,109,76.0
2000104,104,90.5
2000102,111,49.3
2000106,101,45.3
2000102,113,98.5
2000103,101,73.4
2000104,102,93.7
2000102,108,99.2
2000103,109,76.0
2000104,104,90.5
2000102,111,49.3
2000106,101,45.3
2000102,113,98.5
2000103,101,73.4
2000104,102,93.7
2000102,108,99.2
2000103,109,76.0
2000104,104,90.5
2000102,111,49.3
2000106,101,45.3
2000102,113,98.5
2000103,101,73.4
2000104,102,93.7
2000102,108,99.2
2000103,109,76.0
2000104,104,90.5
2000102,111,49.3
2000106,101,45.3
2000102,113,98.5
2000103,101,73.4
2000104,102,93.7
2000102,108,99.2
2000103,109,76.0
2000104,104,90.5
2000102,111,49.3
2000106,101,45.3
2000102,113,98.5
2000103,101,73.4
2000104,102,93.7
2000102,108,99.2
2000103,109,76.0
2000104,104,90.5
2000102,111,49.3
2000106,101,45.3
2000102,113,98.5
2000103,101,73.4
2000104,102,93.7
2000102,108,99.2
2000103,109,76.0
2000104,104,90.5
2000102,111,49.3
2000106,101,45.3
2000102,113,98.5
2000103,101,73.4
2000104,102,93.7
2000102,108,99.2
2000103,109,76.0
2000104,104,90.5
2000102,111,49.3
2000106,101,45.3
2000102,113,98.5
2000103,101,73.4
2000104,102,93.7
2000102,108,99.2
2000103,109,76.0
2000104,104,90.5
2000102,111,49.3
2000106,101,45.3
2000102,113,98.5
2000103,101,73.4
2000104,102,93.7
2000102,108,99.2
2000103,109,76.0
